code,performanceExpPubDate,performanceExpStatDate,performanceExpUpdateDate,performanceExpressTotalAsset,performanceExpressNetAsset,performanceExpressEPSChgPct,performanceExpressROEWa,performanceExpressEPSDiluted,performanceExpressGRYOY,performanceExpressOPYOY
sz.300195,2014-02-21,2013-12-31,2014-02-21,1619142359.73,1351825520.58,0.001737,11.28,1.05,0.075289,-0.112455
sz.300196,2014-02-28,2013-12-31,2014-02-28,1436659864.06,975965116.5,0.138744,11.43,0.88,0.720989,0.211526
sz.300197,2014-02-27,2013-12-31,2014-02-27,3604258786.13,1782102765.56,0.06478099999999999,14.29,0.75,0.237188,0.06877
sz.300198,2014-02-28,2013-12-31,2014-02-28,1310061000.0,1094191000.0,-0.038807,8.34,0.425,0.5809270000000001,-0.068612
sz.300199,2014-02-28,2013-12-31,2014-02-28,1288684263.34,1125559205.67,0.10371,12.29,0.33,0.333673,0.378103
sz.300200,2014-02-28,2013-12-31,2014-02-28,827345879.63,751617747.44,-0.044677,6.25,0.2325,0.16855699999999998,-0.048133
sz.300201,2014-02-27,2013-12-31,2014-02-27,1006944200.0,652656100.0,-0.052164,1.0,0.02,0.30268,-0.932396
sz.300202,2014-02-27,2013-12-31,2014-02-27,1243754143.91,1047512484.4,0.42818,29.74,0.9,0.7145600000000001,0.989546
sz.300203,2014-02-28,2013-12-31,2014-02-28,2395893700.39,1901427655.24,-0.04343,8.58,0.36,0.111922,-0.379394
sz.300204,2014-02-27,2013-12-31,2014-02-27,1569471600.0,1313998800.0,-0.211002,8.52,0.46,0.605118,-0.357131
sz.300205,2014-02-19,2013-12-31,2014-02-19,1747415700.0,1074585900.0,0.214574,8.29,0.4,0.660384,1.523425
sz.300206,2014-02-24,2013-12-31,2014-02-24,1272204973.49,1175132343.66,-0.157604,2.97,0.27,0.188645,-0.642508
sz.300207,2014-02-27,2013-12-31,2014-02-27,2805870574.41,1277997280.01,0.049827,6.71,0.3423,0.5596979999999999,0.189485
sz.300208,2014-02-28,2013-12-31,2014-02-28,1216839076.38,689137600.95,-0.066085,5.33,0.1296,-0.216725,-0.946761
sz.300209,2014-02-27,2013-12-31,2014-03-28,923196777.32,845419430.74,0.012505,0.82,0.04,0.204855,1.6688009999999998
sz.300210,2014-02-25,2013-12-31,2014-02-25,1214810209.55,761056095.25,0.13138,14.42,0.77,0.4914810000000001,0.083767
sz.300211,2014-02-26,2013-12-31,2014-03-19,581469506.65,486778664.77,-0.012625,4.76,0.3531,0.221255,0.30448200000000003
sz.300212,2014-02-27,2013-12-31,2014-02-27,2187719992.07,851396049.66,0.023856,11.69,0.35,0.494675,0.111046
sz.300214,2014-02-27,2013-12-31,2014-02-27,1348648622.25,1178172249.5,-0.210649,4.74,0.27,-0.04837,-0.449308
sz.300215,2014-02-28,2013-12-31,2014-02-28,2676219919.9,1293713097.21,0.081202,13.94,0.4749,0.361456,0.200443
sz.300216,2014-02-28,2013-12-31,2014-02-28,1227685875.94,868763175.47,0.073728,10.35,0.48,0.263283,0.012941
sz.300217,2014-02-25,2013-12-31,2014-02-25,1585202358.94,1090000840.77,-0.003617,9.0,0.4784,0.25406,0.076949
sz.300218,2014-02-27,2013-12-31,2014-02-27,1559955700.0,855289000.0,0.133948,9.4,0.365,0.064861,0.678899
sz.300219,2014-02-26,2013-12-31,2014-02-26,1055825649.28,789810261.13,0.029295,7.47,0.2399,0.390672,0.192838
sz.300220,2014-02-28,2013-12-31,2014-02-28,409726726.27,287801559.59,-0.081995,2.44,0.1005,0.106785,-0.4790430000000001
sz.300221,2014-01-28,2013-12-31,2014-01-28,1027152396.08,681852512.2,-0.105658,2.0,0.07,0.08161,-0.7318180000000001
sz.300222,2014-02-28,2013-12-31,2014-02-28,792163397.58,609514463.42,-0.17457899999999998,1.61,0.09,0.263227,-0.711424
sz.300223,2014-02-28,2013-12-31,2014-02-28,1090636877.42,1077872835.56,-0.214458,2.37,0.2459,-0.11316500000000004,1.723529
sz.300224,2014-01-27,2013-12-31,2014-01-27,1887906961.26,1392531658.43,-0.28699,5.82,0.33,-0.325993,-0.466548
sz.300225,2014-02-20,2013-12-31,2014-02-20,979649332.19,752378468.03,0.15049400000000002,10.3,0.58,0.245465,0.343637
sz.300226,2014-02-26,2013-12-31,2014-02-26,821002780.6,379234065.29,-0.11392,5.83,0.18,0.627262,-0.427843
sz.300227,2014-02-27,2013-12-31,2014-02-27,490599781.21,328327325.03,-0.037516,5.61,0.13,0.073465,-0.265704
sz.300229,2014-02-28,2013-12-31,2014-02-28,960272705.86,861483619.93,-0.027795,8.22,0.3328,-0.07922,-0.251443
sz.300230,2014-02-26,2013-12-31,2014-02-26,677245817.13,541854642.12,0.01125,9.96,0.3223,0.184218,0.013579
sz.300231,2014-02-27,2013-12-31,2014-02-27,445487669.78,354719208.15,0.058461,14.06,0.3937,0.137298,0.175875
sz.300232,2014-02-28,2013-12-31,2014-02-28,1021128841.89,596398526.29,0.178755,7.0,0.4,0.410963,0.962415
sz.300233,2014-02-26,2013-12-31,2014-02-26,1575802800.0,1021694200.0,0.189967,6.41,0.53,0.13684100000000002,1.10585
sz.300234,2014-02-24,2013-12-31,2014-02-24,632656196.29,428212995.64,0.198105,12.21,0.41,1.169713,1.293175
